"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"321","David Clarkson","N.J","R","48","844.45","15","9","5","4","24","61.54","180","8.33","18.74","269","230","169","84","11","14","78","26","19","6","1","27","16","8","84","115","6","6","19","24.00"
"392","Paul Stastny","COL","C","40","774.26666666667","9","15","5","10","24","72.73","87","10.34","10.09","139","121","87","48","5","13","14","7","7","0","0","8","15","23","21","30","29","409","372","52.37"
"466","Kyle Okposo","NYI","R","48","813.88333333333","4","20","14","6","24","58.54","101","3.96","11.67","175","137","115","49","7","4","38","15","14","0","1","18","35","35","48","104","21","104","82","55.91"
"583","Carl Hagelin","NYR","L","48","830.81666666667","10","14","9","5","24","64.86","132","7.58","11.41","212","165","124","79","7","12","18","9","9","0","0","22","20","13","49","81","28","7","10","41.18"
"603","Alex Pietrangelo","STL","D","47","1180.3","5","19","10","9","24","40.68","93","5.38","5.43","221","150","54","6","7","12","10","5","5","0","0","9","27","26","24","79","101","0","0","-"
"695","Oliver Ekman-Larsson","PHX","D","48","1204.6166666667","3","21","11","10","24","44.44","101","2.97","5.83","222","145","51","10","1","21","26","13","13","0","0","18","23","21","73","69","40","0","0","-"
"726","Cody Eakin","DAL","C","48","724.06666666667","7","17","9","8","24","77.42","67","10.45","6.36","120","86","78","30","2","12","31","14","13","1","0","9","25","27","71","57","29","304","322","48.56"
"773","Jeff Skinner","CAR","L","42","775.46666666667","13","11","7","4","24","63.16","159","8.18","17.44","284","218","151","69","13","30","26","13","13","0","0","26","17","37","21","66","11","21","23","47.73"
"793","Matt Read","PHI","R","42","756.73333333333","11","13","7","6","24","66.67","72","15.28","7.2","119","103","76","39","0","8","2","1","1","0","0","8","16","17","49","63","32","14","34","29.17"
"804","Ryan Nugent-Hopkins","EDM","C","40","754.61666666667","4","20","11","9","24","51.06","78","5.13","8.52","150","116","99","35","4","10","8","4","4","0","0","12","11","22","27","40","27","226","325","41.02"
"148","Paul Martin","PIT","D","34","861.05","6","17","9","8","23","41.82","38","15.79","2.53","101","58","37","6","0","13","16","8","8","0","0","2","12","14","17","44","50","0","0","-"
"229","Matt Stajan","CGY","C","43","737.96666666667","5","18","11","7","23","58.97","44","11.36","5.89","76","64","57","30","2","6","26","13","13","0","0","15","17","24","47","52","30","356","414","46.23"
"342","Bryan Bickell","CHI","L","48","614.66666666667","9","14","8","6","23","92.00","82","10.98","5.2","149","107","70","23","7","6","25","7","5","1","1","9","11","23","108","88","13","2","4","33.33"
"403","Martin Hanzal","PHX","C","39","723.08333333333","11","12","7","5","23","62.16","93","11.83","11.03","170","137","102","53","4","10","24","12","12","0","0","14","17","24","100","56","17","298","339","46.78"
"406","Andrew Cogliano","ANA","L","48","737.68333333333","13","10","6","4","23","74.19","79","16.46","9.3","140","101","80","30","5","5","6","3","3","0","0","14","15","13","40","40","24","32","60","34.78"
"486","Viktor Stalberg","CHI","L","47","663.7","9","14","11","3","23","65.71","113","7.96","10.15","189","153","119","50","7","13","25","11","10","1","0","10","11","22","43","56","14","0","1","0.00"
"501","Nikolay Kulemin","TOR","L","48","803.41666666667","7","16","11","5","23","63.89","72","9.72","6.35","131","105","69","27","10","3","22","11","11","0","0","9","13","30","122","66","47","10","10","50.00"
"540","Kevin Shattenkirk","STL","D","48","1021.6166666667","5","18","7","11","23","52.27","84","5.95","3.74","189","124","41","2","3","8","20","10","10","0","0","2","22","22","55","53","59","0","0","-"
"177","Fedor Tyutin","CBJ","D","48","1156.5833333333","4","18","13","5","22","44.90","56","7.14","3.46","137","87","31","5","0","3","28","14","14","0","0","7","19","9","58","103","58","1","0","100.00"
"187","Christian Ehrhoff","BUF","D","47","1184","5","17","12","5","22","36.67","102","4.90","4.63","223","155","45","4","5","11","34","17","17","0","0","5","24","22","38","75","81","0","0","-"
"195","Jussi Jokinen","CAR, PIT","L","43","663.55","13","9","5","4","22","78.57","74","17.57","9.07","139","108","79","41","3","11","24","12","12","0","0","6","14","26","17","36","22","250","182","57.87"
"205","Dennis Wideman","CGY","D","46","1150.9666666667","6","16","6","10","22","35.48","94","6.38","5.09","217","145","49","8","3","9","12","6","6","0","0","10","37","16","40","69","100","0","1","0.00"
"225","Jay Bouwmeester","CGY, STL","D","47","1157.8","7","15","11","4","22","42.31","79","8.86","4.28","155","118","42","11","2","6","22","11","11","0","0","5","28","11","41","66","61","0","0","-"
"258","Nathan Horton","BOS","R","43","724.78333333333","13","9","4","5","22","56.41","114","11.40","10.98","182","140","112","45","4","10","22","8","6","2","0","9","13","9","41","42","10","5","5","50.00"
"281","Matt Carle","T.B","D","48","1139.9","5","17","8","9","22","40.74","66","7.58","2.92","133","87","25","4","2","4","4","2","2","0","0","7","34","22","32","72","87","0","0","-"
"355","Alexander Edler","VAN","D","45","1073.1666666667","8","14","4","10","22","47.83","113","7.08","5.21","252","160","54","9","3","13","37","17","16","1","0","13","26","19","77","96","81","1","0","100.00"
"391","Mason Raymond","VAN","L","46","727.93333333333","10","12","9","3","22","61.11","79","12.66","6.57","139","102","71","31","5","11","16","8","8","0","0","8","18","17","18","45","8","17","33","34.00"
"469","Jamie McGinn","COL","L","47","812.38333333333","11","11","8","3","22","53.66","128","8.59","12.33","213","175","126","59","6","16","26","10","8","2","0","13","14","20","82","58","16","3","3","50.00"
"601","Drew Doughty","L.A","D","48","1266.9333333333","6","16","8","8","22","35.48","114","5.26","6.91","260","169","64","13","2","14","36","18","18","0","0","14","36","9","128","113","46","0","0","-"
"620","John Carlson","WSH","D","48","1105","6","16","6","10","22","37.93","97","6.19","4.07","192","138","29","3","1","4","18","9","9","0","0","11","41","18","59","69","123","1","0","100.00"
"680","Marcus Johansson","WSH","L","34","563.91666666667","6","16","9","7","22","70.97","40","15.00","4.63","68","53","44","24","1","0","4","2","2","0","0","13","19","15","14","48","6","40","47","45.98"
"55","Matt Cooke","PIT","L","48","706.21666666667","8","13","8","5","21","84.00","61","13.11","6.71","103","84","68","30","3","5","36","14","13","0","1","14","13","11","97","65","41","3","11","21.43"
"86","Mike Fisher","NSH","C","38","739.55","10","11","7","4","21","61.76","68","14.71","7.35","138","101","80","39","2","3","27","11","10","1","0","10","13","23","67","44","46","275","288","48.85"
"128","Andy McDonald","STL","L","37","638.4","7","14","9","5","21","58.33","86","8.14","7.72","138","110","82","35","5","13","16","8","8","0","0","13","18","13","10","31","13","95","103","47.98"
"130","Dany Heatley","MIN","L","36","667.21666666667","11","10","7","3","21","63.64","83","13.25","9.67","135","104","91","44","5","7","6","3","3","0","0","5","8","8","26","30","22","12","19","38.71"
"147","Antoine Vermette","PHX","C","48","875.8","13","8","3","5","21","63.64","91","14.29","12.11","157","129","101","51","8","9","36","17","17","0","0","15","7","24","63","62","35","482","357","57.45"
"489","Michael Grabner","NYI","R","45","665.71666666667","16","5","3","2","21","75.00","108","14.81","11.42","168","132","112","49","12","6","12","6","6","0","0","7","19","30","16","17","19","10","12","45.45"
"500","Shawn Matthias","FLA","L","48","729.11666666667","14","7","5","2","21","60.00","106","13.21","8.6","169","133","99","43","6","9","16","8","8","0","0","5","4","16","66","55","21","153","194","44.09"
"617","Michael Del Zotto","NYR","D","46","1066.1833333333","3","18","10","8","21","42.86","81","3.70","5.4","186","122","49","19","6","12","18","9","9","0","0","9","26","10","77","62","64","0","0","-"
"682","Kyle Palmieri","ANA","R","42","517.73333333333","10","11","6","5","21","84.00","92","10.87","9.03","159","127","96","42","6","4","4","2","2","0","0","8","7","14","48","57","10","1","11","8.33"
"73","Dan Boyle","S.J","D","46","1048.7","7","13","6","7","20","37.74","97","7.22","8.69","235","154","81","24","5","16","27","12","11","1","0","7","42","16","29","46","81","0","0","-"
"126","Joel Ward","WSH","R","39","590.01666666667","8","12","6","6","20","66.67","52","15.38","5.19","89","68","63","32","2","5","12","6","6","0","0","7","7","16","37","52","28","38","27","58.46"
"167","Ales Hemsky","EDM","R","38","596.73333333333","9","11","5","6","20","60.61","82","10.98","7.69","130","99","83","34","3","6","16","8","8","0","0","4","17","16","11","55","9","12","12","50.00"
"185","Patrick Sharp","CHI","L","28","527.2","6","14","9","5","20","64.52","88","6.82","7.72","166","119","74","13","5","11","14","7","7","0","0","15","14","14","26","44","12","40","22","64.52"
"197","David Moss","PHX","R","45","699.76666666667","5","15","11","4","20","71.43","82","6.10","8.46","154","116","72","38","2","16","21","9","8","1","0","13","6","15","73","68","34","9","22","29.03"
"226","Pierre-Marc Bouchard","MIN","C","43","599.53333333333","8","12","5","7","20","64.52","71","11.27","6.44","103","85","52","22","2","2","8","4","4","0","0","6","15","10","12","25","6","1","6","14.29"
"266","Brent Seabrook","CHI","D","47","1033.95","8","12","5","7","20","39.22","65","12.31","3.79","148","91","35","6","2","8","23","10","9","1","0","5","40","15","106","73","103","0","0","-"
"271","Brent Burns","S.J","D","30","488.45","9","11","6","5","20","74.07","81","11.11","6.05","153","111","70","27","6","9","20","9","9","0","0","1","19","5","54","28","13","4","9","30.77"
"289","Clarke MacArthur","TOR","L","40","596.36666666667","8","12","6","6","20","66.67","62","12.90","7.24","123","91","73","36","3","6","26","9","8","0","1","7","29","15","44","61","15","5","1","83.33"
"300","John Mitchell","COL","C","47","787.23333333333","10","10","7","3","20","71.43","72","13.89","6.05","147","100","72","20","4","7","18","9","9","0","0","12","21","28","99","53","43","171","173","49.71"
"334","Travis Zajac","N.J","C","48","937.58333333333","7","13","7","6","20","52.63","82","8.54","9.88","146","119","92","47","2","10","22","11","11","0","0","15","15","29","33","54","10","506","375","57.43"
"347","Brandon Dubinsky","CBJ","C","29","533.76666666667","2","18","10","8","20","74.07","50","4.00","5.4","90","72","52","30","3","7","76","16","8","4","4","15","6","13","64","21","17","256","183","58.31"
"397","Benoit Pouliot","T.B","L","34","450.03333333333","8","12","6","6","20","66.67","60","13.33","7.24","100","84","73","37","7","2","15","6","5","1","0","11","16","18","35","35","6","10","21","32.26"
"405","T.J. Oshie","STL","R","30","572.8","7","13","7","6","20","86.96","65","10.77","6.23","130","96","71","23","6","7","15","6","5","1","0","10","12","18","33","45","24","5","8","38.46"
"684","Ryan O'Reilly","COL","C","29","536.73333333333","6","14","6","8","20","68.97","66","9.09","5.41","118","88","46","14","6","5","4","2","2","0","0","7","10","34","7","15","14","241","215","52.85"
"691","Victor Hedman","T.B","D","44","997.01666666667","4","16","8","8","20","38.46","76","5.26","4.5","156","111","38","6","6","10","31","14","13","1","0","9","42","17","56","67","84","0","0","-"
"808","Mika Zibanejad","OTT","C","42","569.78333333333","7","13","6","7","20","64.52","90","7.78","7.98","153","127","76","29","8","9","6","3","3","0","0","9","7","12","82","40","19","159","184","46.36"
"44","Zdeno Chara","BOS","D","48","1196.9333333333","7","12","10","2","19","35.19","119","5.88","5.17","248","173","51","7","1","9","70","28","25","2","1","9","34","12","101","64","64","0","1","0.00"
"171","Marcel Goc","FLA","C","42","767.31666666667","9","10","7","3","19","55.88","92","9.78","7.38","149","117","81","33","9","3","8","4","4","0","0","6","11","21","73","43","20","410","376","52.16"
"192","Ryane Clowe","NYR, S.J","L","40","665.31666666667","3","16","9","7","19","61.29","87","3.45","8.92","165","123","86","45","6","11","93","23","14","5","4","13","26","13","99","47","19","5","10","33.33"
"193","Marek Zidlicky","N.J","D","48","1007.7333333333","4","15","6","9","19","47.50","101","3.96","6.07","232","146","60","5","4","14","38","19","19","0","0","4","31","10","52","43","42","0","0","-"
"381","Daniel Winnik","ANA","L","48","807.68333333333","6","13","5","8","19","65.52","95","6.32","7.14","148","122","83","39","7","4","16","8","8","0","0","8","10","24","63","84","37","16","37","30.19"
"396","Jack Johnson","CBJ","D","44","1142.85","5","14","5","9","19","45.24","96","5.21","5.1","196","138","52","5","1","9","12","6","6","0","0","5","20","9","66","63","90","0","0","-"
"422","Vladimir Sobotka","STL","L","48","741.9","8","11","7","4","19","76.00","69","11.59","5.51","117","91","55","22","4","2","35","16","15","1","0","16","4","15","98","67","16","286","220","56.52"
"444","Colin Greening","OTT","C","47","692.3","8","11","6","5","19","59.38","80","10.00","9.14","149","119","89","46","5","9","11","4","3","1","0","7","18","19","122","81","24","22","25","46.81"
"462","Nick Foligno","CBJ","L","45","743.6","6","13","7","6","19","63.33","69","8.70","6.7","112","87","69","41","4","8","28","11","9","2","0","12","8","17","99","44","33","3","6","33.33"
"529","Alex Killorn","T.B","L","38","639.11666666667","7","12","7","5","19","63.33","82","8.54","6.85","135","105","89","41","4","6","14","7","7","0","0","9","17","11","40","49","22","11","17","39.29"
"559","Brandon Sutter","PIT","C","48","787.5","11","8","5","3","19","61.29","82","13.41","7.13","138","113","75","35","8","3","4","2","2","0","0","7","19","19","30","48","32","382","379","50.20"
"576","Ryan McDonagh","NYR","D","47","1144.8333333333","4","15","8","7","19","41.30","83","4.82","4.8","181","117","57","11","3","4","22","11","11","0","0","11","26","27","69","66","78","0","1","0.00"
"606","Colin Wilson","NSH","C, L","25","414.16666666667","7","12","8","4","19","90.48","26","26.92","4.35","60","49","41","22","2","4","4","2","2","0","0","4","13","12","10","21","13","8","13","38.10"
"609","Josh Bailey","NYI","R","38","622.4","11","8","5","3","19","73.08","76","14.47","7.88","126","98","86","45","6","5","6","3","3","0","0","4","21","26","24","40","22","35","40","46.67"
"625","Patrick Wiercioch","OTT","D","42","659.13333333333","5","14","10","4","19","54.29","81","6.17","3.32","167","105","44","1","3","8","39","14","12","1","1","6","18","1","28","50","29","0","0","-"
"688","Jakob Silfverberg","OTT","R","48","778.98333333333","10","9","8","1","19","59.38","134","7.46","11.48","229","176","112","53","10","12","12","6","6","0","0","8","23","20","38","78","13","5","8","38.46"
"766","Vladimir Tarasenko","STL","R","38","509.58333333333","8","11","9","2","19","67.86","75","10.67","7.82","135","109","89","32","4","7","10","5","5","0","0","11","6","14","28","36","7","1","0","100.00"
"84","Nik Antropov","WPG","C","40","638.26666666667","6","12","8","4","18","60.00","56","10.71","5.3","97","71","57","27","2","5","16","8","8","0","0","8","19","15","76","29","27","128","176","42.11"
"109","Martin Havlat","S.J","R","40","633.73333333333","8","10","7","3","18","69.23","89","8.99","8.85","144","116","84","43","6","8","30","11","10","0","1","7","20","8","6","30","13","1","5","16.67"
"133","Raffi Torres","PHX, S.J","L","39","517.51666666667","7","11","6","5","18","81.82","60","11.67","5.38","101","88","59","32","2","8","17","7","6","1","0","7","16","12","87","44","15","6","7","46.15"
"145","Jarret Stoll","L.A","C","48","792.88333333333","7","11","6","5","18","69.23","73","9.59","5.77","120","95","58","21","2","4","28","14","14","0","0","10","12","8","107","66","44","418","328","56.03"
"169","R.J. Umberger","CBJ","C","48","887.46666666667","8","10","5","5","18","51.43","96","8.33","8.63","169","127","90","41","6","7","16","8","8","0","0","14","11","22","51","83","45","54","54","50.00"
"237","Joffrey Lupul","TOR","L","16","257.96666666667","11","7","5","2","18","66.67","42","26.19","4.05","67","55","44","16","1","2","12","6","6","0","0","6","5","9","31","34","7","3","5","37.50"
"331","Drew Stafford","BUF","R","46","782.86666666667","6","12","6","6","18","64.29","121","4.96","8.55","186","153","91","31","8","6","21","9","8","1","0","8","19","21","46","60","9","37","47","44.05"
"386","Rich Peverley","BOS","C","47","717.11666666667","6","12","5","7","18","78.26","95","6.32","9.87","151","131","90","45","8","11","16","8","8","0","0","5","24","23","23","57","21","211","150","58.45"
"499","Artem Anisimov","CBJ","C","35","574.3","11","7","4","3","18","81.82","68","16.18","5.58","126","91","72","33","4","4","12","6","6","0","0","5","5","17","13","41","24","249","260","48.92"
"623","Roman Josi","NSH","D","48","1129.4166666667","5","13","8","5","18","33.33","96","5.21","5.29","182","122","52","9","3","9","8","4","4","0","0","6","20","16","31","88","73","0","0","-"
"654","Cam Atkinson","CBJ","R","35","545.51666666667","9","9","7","2","18","72.00","91","9.89","9.05","142","124","81","38","2","8","4","2","2","0","0","3","6","19","24","24","16","0","0","-"
"703","Nick Leddy","CHI","D","48","836.13333333333","6","12","4","8","18","41.86","65","9.23","3.19","115","86","25","5","2","4","10","5","5","0","0","2","18","12","38","62","39","0","0","-"
"721","Marcus Foligno","BUF","L","47","640.48333333333","5","13","8","5","18","64.29","55","9.09","7.27","94","75","52","34","7","3","41","16","13","3","0","17","11","18","108","64","16","45","30","60.00"
"21","Sheldon Souray","ANA","D","44","920.88333333333","7","10","2","8","17","31.48","80","8.75","3.87","167","107","31","1","3","7","52","22","20","2","0","6","32","9","34","20","58","1","0","100.00"
"25","Steve Sullivan","N.J, PHX","L","42","611.26666666667","7","10","4","6","17","58.62","61","11.48","6.17","109","76","64","31","3","6","24","8","7","0","1","5","15","15","12","38","3","3","3","50.00"
"53","Sami Salo","T.B","D","46","965.31666666667","2","15","4","11","17","35.42","48","4.17","2.05","99","65","12","3","3","4","16","8","8","0","0","3","16","13","40","43","65","0","0","-"
"66","Joe Corvo","CAR","D","40","750.38333333333","6","11","4","7","17","41.46","71","8.45","4.09","148","101","35","8","3","14","14","7","7","0","0","4","20","15","27","45","38","0","0","-"
"181","Jay McClement","TOR","C","48","731.95","8","9","2","7","17","73.91","48","16.67","5.13","79","60","37","16","3","3","11","4","3","1","0","6","17","30","76","75","39","203","190","51.65"
"191","Dennis Seidenberg","BOS","D","46","1094.5833333333","4","13","4","9","17","33.33","83","4.82","3","183","118","29","0","5","2","10","5","5","0","0","2","16","10","115","138","115","0","0","-"
"202","Vernon Fiddler","DAL","C","46","591.3","4","13","10","3","17","80.95","56","7.14","4.51","103","79","46","27","7","2","48","21","19","2","0","17","8","18","34","59","28","319","300","51.53"
"213","Valtteri Filppula","DET","C","41","728.81666666667","9","8","6","2","17","73.91","78","11.54","7.95","140","114","80","36","4","5","6","3","3","0","0","11","19","18","16","47","12","179","144","55.42"
"239","Daniel Paille","BOS","L","46","583.4","10","7","6","1","17","80.95","70","14.29","7.51","103","87","65","34","10","10","8","4","4","0","0","5","11","25","45","67","15","2","8","20.00"
"269","Eric Fehr","WSH","C","41","548.21666666667","9","8","3","5","17","53.13","72","12.50","7.63","137","103","82","34","2","6","10","5","5","0","0","11","9","23","36","45","22","0","4","0.00"
"283","Colin McDonald","NYI","R","45","511.81666666667","7","10","5","5","17","73.91","82","8.54","8","128","101","73","27","7","7","32","9","6","2","1","13","13","6","120","53","9","4","4","50.00"
"482","Peter Mueller","FLA","C","43","699.26666666667","8","9","7","2","17","45.95","131","6.11","10.55","193","162","104","48","11","16","18","9","9","0","0","4","11","33","29","32","10","46","58","44.23"
"509","Mathieu Perreault","WSH","C","39","455.03333333333","6","11","10","1","17","65.38","47","12.77","4.91","88","66","64","27","2","5","20","10","10","0","0","10","7","9","28","34","8","168","157","51.69"
"805","Gabriel Landeskog","COL","L","36","695.73333333333","9","8","4","4","17","56.67","109","8.26","8.54","179","144","86","43","4","14","22","11","11","0","0","14","15","21","86","50","32","6","12","33.33"
"826","Roman Cervenka","CGY","C","39","512.48333333333","9","8","3","5","17","70.83","51","17.65","5.54","103","80","71","23","2","1","14","7","7","0","0","4","8","8","7","16","4","58","67","46.40"
"39","Daniel Briere","PHI","C","34","546.03333333333","6","10","4","6","16","57.14","87","6.90","9.74","143","106","81","45","1","9","10","5","5","0","0","10","13","7","15","25","6","62","73","45.93"
"82","Simon Gagne","L.A, PHI","L","38","537.23333333333","5","11","5","6","16","64.00","76","6.58","7.4","135","103","76","33","4","7","8","4","4","0","0","4","10","17","24","33","15","2","0","100.00"
"249","Patrick Dwyer","CAR","R","46","709.85","8","8","6","2","16","61.54","93","8.60","9.12","171","132","95","48","10","13","12","6","6","0","0","10","10","16","57","68","28","17","30","36.17"
"369","Mikhail Grabovski","TOR","C","48","747.36666666667","9","7","3","4","16","50.00","80","11.25","7.73","167","124","96","30","5","9","24","8","7","0","1","12","32","19","34","104","20","323","315","50.63"
"382","Grant Clitsome","WPG","D","44","828.76666666667","4","12","7","5","16","37.21","56","7.14","2.81","118","79","27","6","1","9","18","9","9","0","0","4","27","8","82","72","54","0","0","-"
"429","Tom Pyatt","T.B","L","43","584.01666666667","8","8","6","2","16","64.00","60","13.33","6.72","100","81","72","39","3","3","12","6","6","0","0","12","5","16","22","86","36","145","145","50.00"
"455","Andy Greene","N.J","D","48","1105.9666666667","4","12","4","8","16","32.65","63","6.35","3.04","162","99","39","6","0","7","20","9","9","0","0","11","18","32","47","63","70","0","0","-"
"575","Mikael Backlund","CGY","C","32","483.98333333333","8","8","3","5","16","69.57","88","9.09","8.49","145","116","76","35","3","5","29","8","6","1","1","9","17","28","31","24","19","194","213","47.67"
"579","Jake Muzzin","L.A","D","45","805.28333333333","7","9","7","2","16","37.21","77","9.09","3.41","164","108","31","5","1","6","35","12","10","1","1","8","23","7","70","108","29","0","0","-"
"597","Jason Garrison","VAN","D","47","1019.4333333333","8","8","4","4","16","29.63","94","8.51","4.84","225","155","47","7","2","16","28","14","14","0","0","2","24","16","36","73","58","0","0","-"
"637","Adam Henrique","N.J","C","42","769.36666666667","11","5","5","0","16","51.61","78","14.10","10.21","140","116","95","48","3","6","16","8","8","0","0","12","13","26","27","35","21","333","347","48.97"
"648","Matt Calvert","CBJ","L","42","595.53333333333","9","7","5","2","16","69.57","63","14.29","5.63","122","82","69","26","3","5","30","8","5","2","1","9","6","17","57","54","24","2","4","33.33"
"698","Magnus Paajarvi","EDM","L","42","593.46666666667","9","7","4","3","16","61.54","75","12.00","6.73","110","92","70","35","2","11","14","7","7","0","0","5","10","9","24","57","23","4","8","33.33"
"731","Gabriel Bourque","NSH","L","34","538.3","11","5","3","2","16","59.26","50","22.00","5.6","90","76","61","33","5","8","4","2","2","0","0","9","10","13","39","59","23","4","2","66.67"
"811","Dougie Hamilton","BOS","D","42","719.38333333333","5","11","8","3","16","53.33","83","6.02","3.62","163","110","46","5","3","5","14","7","7","0","0","1","27","8","59","52","33","0","0","-"
"62","Daniel Cleary","DET","R","48","789.28333333333","9","6","1","5","15","51.72","93","9.68","8.97","133","115","88","56","4","7","40","20","20","0","0","12","19","11","56","83","21","11","12","47.83"
"83","Scott Gomez","S.J","C","39","527.81666666667","2","13","5","8","15","75.00","58","3.45","5.88","100","82","49","27","3","10","22","7","6","0","1","4","21","20","4","26","11","181","143","55.86"
"188","Kyle Wellwood","WPG","C","39","506.08333333333","6","9","5","4","15","71.43","37","16.22","3.56","61","47","41","21","0","5","2","1","1","0","0","4","15","18","10","37","10","43","35","55.13"
"244","Chris Higgins","VAN","L","41","673.05","10","5","2","3","15","71.43","77","12.99","8.51","131","107","80","40","3","10","10","5","5","0","0","4","12","36","46","31","22","33","58","36.26"
"267","Steve Bernier","N.J","R","47","646.83333333333","8","7","5","2","15","57.69","88","9.09","10.9","127","114","88","62","7","10","17","7","6","1","0","16","13","11","64","81","15","5","5","50.00"
"304","Nate Thompson","T.B","C","45","645.18333333333","7","8","5","3","15","68.18","58","12.07","4.73","102","84","58","24","3","5","17","7","6","1","0","7","12","21","85","47","31","310","295","51.24"
"312","Toby Enstrom","WPG","D","22","495.53333333333","4","11","3","8","15","60.00","21","19.05","1.59","50","35","13","3","0","2","8","4","4","0","0","3","8","2","9","44","38","0","0","-"
"322","Mark Giordano","CGY","D","47","1088.5166666667","4","11","6","5","15","23.44","58","6.90","2.95","148","92","31","3","2","7","40","19","19","0","0","13","31","34","65","94","93","0","0","-"
"443","Sergei Kostitsyn","NSH","L","46","769.1","3","12","7","5","15","46.88","42","7.14","4.6","107","70","57","26","4","2","11","4","3","1","0","7","20","15","27","38","25","3","1","75.00"
"510","Ryan Carter","N.J","L","44","574.31666666667","6","9","7","2","15","78.95","63","9.52","6.58","100","86","68","33","2","4","31","14","13","1","0","10","9","17","50","65","15","43","40","51.81"
"568","Carl Gunnarsson","TOR","D","37","787.45","1","14","2","12","15","45.45","28","3.57","1.27","63","43","14","0","0","3","14","7","7","0","0","2","32","11","78","99","71","0","0","-"
"592","Zack Smith","OTT","C","48","727.1","4","11","5","6","15","83.33","94","4.26","9.83","169","134","102","41","4","13","56","19","13","6","0","18","21","22","97","82","22","379","352","51.85"
"655","Jared Spurgeon","MIN","D","39","840.2","5","10","6","4","15","38.46","67","7.46","4.64","140","92","39","10","1","6","4","2","2","0","0","8","15","10","46","59","55","0","0","-"
"724","Casey Cizikas","NYI","C","45","485.4","6","9","5","4","15","68.18","45","13.33","5.64","81","59","58","26","5","4","14","7","7","0","0","6","6","21","75","55","21","144","132","52.17"
"760","Justin Faulk","CAR","D","38","910.61666666667","5","10","2","8","15","33.33","76","6.58","3.98","138","99","39","8","2","7","15","6","5","1","0","8","26","24","63","62","47","0","0","-"
"800","Andrew Shaw","CHI","C","48","722.46666666667","9","6","2","4","15","50.00","64","14.06","7.7","111","86","82","47","0","6","38","16","14","2","0","19","10","12","70","126","14","201","256","43.98"
"810","Sean Couturier","PHI","C","46","730.9","4","11","6","5","15","62.50","75","5.33","6.36","122","97","56","24","3","9","10","5","5","0","0","6","19","26","31","36","27","243","310","43.94"
"31","Jochen Hecht","BUF","C","47","643.8","5","9","6","3","14","60.87","69","7.25","4.91","107","91","57","25","9","5","18","9","9","0","0","5","13","22","24","30","27","147","206","41.64"
"36","Chris Phillips","OTT","D","48","1010.1333333333","5","9","3","6","14","40.00","89","5.62","3.75","162","117","39","9","4","11","43","16","14","1","1","7","20","9","93","111","78","0","0","-"
"59","Olli Jokinen","WPG","C","45","770.71666666667","7","7","3","4","14","50.00","85","8.24","10.84","176","129","102","48","2","13","14","7","7","0","0","9","17","14","91","54","27","300","330","47.62"
"67","Jason Chimera","WSH","L","47","595.71666666667","3","11","6","5","14","70.00","92","3.26","5.94","139","111","70","26","10","8","48","17","14","2","1","11","20","10","73","64","12","21","15","58.33"
"149","Lubomir Visnovsky","NYI","D","35","798.18333333333","3","11","3","8","14","28.57","69","4.35","3.77","143","87","40","12","2","10","20","10","10","0","0","4","30","13","20","29","52","0","0","-"
"228","Boyd Gordon","PHX","C","48","720.53333333333","4","10","8","2","14","63.64","59","6.78","5.59","101","85","65","33","3","9","8","4","4","0","0","5","7","18","22","71","44","452","337","57.29"
"238","James Wisniewski","CBJ","D","30","684.91666666667","5","9","5","4","14","43.75","62","8.06","3.62","137","86","23","2","0","11","15","6","5","1","0","5","15","11","53","49","48","0","0","-"
"260","Milan Michalek","OTT","L","23","418.4","4","10","4","6","14","60.87","58","6.90","6.25","116","90","53","30","5","6","17","7","6","1","0","6","6","9","6","39","13","2","2","50.00"
"279","Kevin Klein","NSH","D","47","959.66666666667","3","11","7","4","14","48.28","54","5.56","2.83","126","78","36","9","5","9","9","3","2","1","0","4","32","23","66","55","89","0","0","-"
"324","Dustin Penner","L.A","R","33","419.03333333333","2","12","6","6","14","70.00","61","3.28","4.96","103","85","53","24","2","5","18","9","9","0","0","6","16","15","59","34","7","2","3","40.00"
"332","Kyle Chipchura","PHX","C","46","445.98333333333","5","9","9","0","14","73.68","37","13.51","4.15","60","49","37","18","1","7","50","12","5","6","1","16","10","14","61","59","7","126","135","48.28"
"340","Dave Bolland","CHI","C","35","571.8","7","7","6","1","14","53.85","46","15.22","4.58","75","59","41","19","1","2","22","11","11","0","0","9","16","21","43","33","18","239","279","46.14"
"351","Brandon Prust","MTL","L","38","518.11666666667","5","9","8","1","14","60.87","39","12.82","3.81","61","47","40","22","4","7","98","30","19","10","1","18","9","11","87","59","26","25","30","45.45"
"409","Matt Niskanen","PIT","D","40","814.3","4","10","6","4","14","42.42","67","5.97","3.33","153","109","18","2","1","4","12","6","6","0","0","1","17","15","49","74","47","0","0","-"
